yearspast,floodshist,yearspredicted,lowscenario,int_low,int,int_high,high,extreme
1920,0,2000,1,1,1,1,1,1
1921,0,2001,1,1,1,1,1,1
1922,0,2002,1,1,1,1,1,1
1923,0,2003,1,1,1,1,1,1
1924,0,2004,1,1,1,1,1,1
1925,0,2005,1,1,1,1,1,1
1926,0,2006,1,1,1,1,1,1
1927,0,2007,1,1,1,1,1,1
1928,0,2008,1,1,1,1,1,1
1929,0,2009,1,1,1,1,1,1
1930,0,2010,1,1,1,1,1,1
1931,0,2011,1,1,1,1,1,1
1932,0,2012,1,1,1,1,2,2
1933,0,2013,1,1,1,1,2,2
1934,0,2014,1,1,1,1,2,2
1935,0,2015,1,1,1,2,2,2
1936,0,2016,1,1,1,2,2,3
1937,0,2017,1,1,1,2,3,3
1938,0,2018,1,1,1,2,3,4
1939,0,2019,1,1,1,2,3,4
1940,0,2020,1,1,2,2,4,5
1941,0,2021,1,1,2,3,4,6
1942,0,2022,1,1,2,3,5,7
1943,0,2023,1,1,2,4,6,9
1944,0,2024,1,2,2,4,7,11
1945,0,2025,1,2,3,5,9,13
1946,0,2026,1,2,3,5,10,15
1947,0,2027,1,2,3,6,12,18
1948,0,2028,1,2,4,7,14,21
1949,0,2029,2,2,4,8,16,25
1950,0,2030,2,2,4,9,19,29
1951,0,2031,2,2,5,10,23,35
1952,0,2032,2,2,5,12,27,42
1953,0,2033,2,3,6,14,33,50
1954,0,2034,2,3,7,16,38,59
1955,0,2035,2,3,7,19,44,70
1956,0,2036,2,3,8,21,51,81
1957,0,2037,2,4,9,24,59,94
1958,0,2038,2,4,10,27,67,108
1959,0,2039,2,4,12,31,76,123
1960,0,2040,2,4,13,34,86,138
1961,0,2041,3,5,15,40,100,159
1962,0,2042,3,5,17,46,116,181
1963,0,2043,3,5,19,52,133,203
1964,0,2044,3,6,22,59,150,224
1965,0,2045,3,6,25,67,168,244
1966,0,2046,3,6,27,76,185,264
1967,0,2047,4,7,31,85,203,281
1968,1,2048,4,7,34,95,221,297
1969,1,2049,4,8,37,106,238,311
1970,NaN,2050,4,9,41,117,254,323
1971,NaN,2051,5,9,45,130,272,335
1972,3,2052,5,10,49,143,288,345
1973,0,2053,5,11,53,156,302,352
1974,0,2054,5,12,58,169,314,357
1975,0,2055,6,13,63,182,325,360
1976,0,2056,6,14,68,196,335,363
1977,0,2057,6,15,73,209,342,364
1978,0,2058,7,16,79,222,349,364
1979,1,2059,7,17,85,235,354,365
1980,0,2060,7,19,92,248,357,365
1981,0,2061,8,20,99,262,360,365
1982,6,2062,8,21,107,275,362,365
1983,1,2063,9,22,115,287,363,365
1984,0,2064,9,23,123,298,364,365
1985,0,2065,10,25,131,309,365,365
1986,0,2066,10,26,140,318,365,365
1987,1,2067,11,27,149,326,365,365
1988,0,2068,12,29,157,333,365,365
1989,0,2069,12,30,166,340,365,365
1990,0,2070,13,31,175,345,365,365
1991,0,2071,13,33,185,350,365,365
1992,1,2072,14,34,196,354,365,365
1993,0,2073,14,36,206,357,365,365
1994,0,2074,15,38,217,360,365,365
1995,0,2075,16,39,227,362,365,365
1996,0,2076,16,41,237,363,365,365
1997,3,2077,17,43,246,364,365,365
1998,0,2078,17,44,256,364,365,365
1999,0,2079,18,46,265,364,365,365
2000,2,2080,19,48,274,365,365,365
2001,0,2081,19,50,282,365,365,365
2002,0,2082,20,52,290,365,365,365
2003,2,2083,21,54,297,365,365,365
2004,4,2084,21,56,304,365,365,365
2005,2,2085,22,58,311,365,365,365
2006,0,2086,23,60,317,365,365,365
2007,0,2087,24,63,323,365,365,365
2008,0,2088,24,65,328,365,365,365
2009,0,2089,25,67,333,365,365,365
2010,0,2090,26,70,337,365,365,365
2011,0,2091,27,72,342,365,365,365
2012,0,2092,27,75,346,365,365,365
2013,0,2093,28,78,350,365,365,365
2014,1,2094,29,80,353,365,365,365
2015,0,2095,30,83,355,365,365,365
2016,0,2096,31,86,357,365,365,365
,,2097,32,89,359,365,365,365
,,2098,33,92,361,365,365,365
,,2099,33,95,362,365,365,365
,,2100,34,98,363,365,365,365
